#1
cat processes.dat | parallel -j 1,0,28.4400,284.5270,55.7149,15852.3899,7760.4428
cat processes.dat | parallel -j 1,1,28.4400,284.4690,56.6965,16128.3837,8038.0853
cat processes.dat | parallel -j 1,2,28.4400,284.5299,57.0911,16244.1328,8152.1035
cat processes.dat | parallel -j 1,3,28.4400,284.5255,57.2152,16279.1992,8187.2929
cat processes.dat | parallel -j 1,4,28.4400,284.5301,57.2018,16275.6240,8183.5890
cat processes.dat | parallel -j 1,5,28.4400,284.5176,57.3470,16316.2280,8224.5468
cat processes.dat | parallel -j 1,6,28.4400,284.4985,57.3135,16305.5951,8214.4591
cat processes.dat | parallel -j 1,7,28.4400,284.4706,57.3023,16300.8200,8210.4767
cat processes.dat | parallel -j 1,8,28.4400,284.4967,57.3206,16307.5103,8216.4251
cat processes.dat | parallel -j 1,9,28.4400,284.4985,57.3993,16330.0099,8238.8737
cat processes.dat | parallel -j 1,10,28.4400,284.4979,57.2970,16300.8743,8209.7530
cat processes.dat | parallel -j 1,11,28.4400,284.4979,57.3434,16314.0893,8222.9685
cat processes.dat | parallel -j 1,12,28.4400,284.4983,57.2404,16284.8051,8193.6728
cat processes.dat | parallel -j 1,13,28.4400,284.4981,57.2848,16297.4045,8206.2778
cat processes.dat | parallel -j 1,14,28.4400,284.4988,57.2906,16299.1070,8207.9615
cat processes.dat | parallel -j 1,15,28.4400,284.4998,57.2278,16281.3062,8190.1329
cat processes.dat | parallel -j 1,16,28.4400,284.2945,57.2988,16289.7215,8204.3859
cat processes.dat | parallel -j 1,17,28.4400,284.5263,57.2477,16288.4724,8196.5456
cat processes.dat | parallel -j 1,18,28.4400,284.5287,57.4617,16349.5019,8257.5064
cat processes.dat | parallel -j 1,19,28.4400,284.5241,57.2816,16297.9854,8206.1195
cat processes.dat | parallel -j 1,20,28.4400,284.5277,57.4179,16336.9829,8245.0163
cat processes.dat | parallel -j 1,21,28.4400,284.5289,57.3289,16311.7312,8219.7282
cat processes.dat | parallel -j 1,22,28.4400,284.5283,57.3027,16304.2264,8212.2425
cat processes.dat | parallel -j 1,23,28.4400,284.5268,57.2580,16291.4292,8199.4871
cat processes.dat | parallel -j 1,24,28.4400,284.5292,57.3378,16314.2715,8222.2597
cat processes.dat | parallel -j 1,25,28.4400,284.5188,57.2576,16290.8679,8199.1545
